samples,accuracy,loss,val_accuracy,val_loss
1000,0.5010333333333333,7.460548414345631,0.4898,17.960516347820274
2000,0.5019444444444444,1.865116314053223,0.4828,17.78767294112627
3000,0.5013,10.718781749623119,0.4889,18.04112095229633
4000,0.5001111111111111,9.62768411998071,0.4986,16.8636147460314
5000,0.5013777777777778,8.655616944083194,0.4853,18.015762558023013
6000,0.5024555555555555,4.225255506339289,0.4803,17.902755019527593
7000,0.5017111111111111,10.731691693902922,0.4871,17.67405302969231
8000,0.5042888888888889,4.395148751214888,0.4646,18.534636449215448
9000,0.5049777777777777,5.579937783156664,0.4595,18.670276187482067
10000,0.5032777777777778,8.503449946816731,0.471,18.271127055340273
11000,0.5045333333333333,8.729086299539903,0.4594,18.671975481522892
12000,0.5051111111111111,6.4070734889032925,0.4528,18.89989598356314
13000,0.5024444444444445,11.466875300797714,0.4822,17.88426237501492
14000,0.5055888888888889,6.828931328745099,0.4543,18.848068948471425
15000,0.5052444444444445,7.888817460907051,0.452,18.927535800250805
16000,0.5037777777777778,10.51059343561255,0.469,18.340203488693685
17000,0.5021,15.429031158298237,0.4806,17.939822267289525
18000,0.5063222222222222,7.579416027469406,0.4445,19.186502660450344
19000,0.5066555555555555,9.98372010983616,0.4404,19.328196081158104
20000,0.5017222222222222,16.04017877100413,0.4828,17.86384031752993
21000,0.5032444444444445,13.29743096814829,0.4717,18.24691097146898
22000,0.5068777777777778,10.55652423919774,0.437,19.44564247357403
23000,0.5079222222222223,9.373631695871321,0.4332,19.576807945097837
24000,0.5005111111111111,15.693557090819057,0.4967,17.383399023012927
25000,0.5070888888888889,11.584552102748823,0.4393,19.36621304295439
26000,0.5034555555555555,14.990173397361167,0.4693,18.330098046791846
27000,0.5069888888888889,11.694614949759503,0.4443,19.19334380926339
28000,0.5059888888888889,12.670817672665951,0.4488,19.03788861094497
29000,0.5086777777777778,11.47423279577621,0.4272,19.784111127960646
30000,0.5088888888888888,11.691599830223959,0.424,19.8946399300492
31000,0.5044777777777778,13.89240024078842,0.4613,18.606124720702386
32000,0.5039,14.533276651323046,0.4669,18.41269381981509
33000,0.5095777777777778,11.474276083519836,0.4216,19.97741441309809
34000,0.5035555555555555,14.689147368159764,0.4692,18.333253994428848
35000,0.5074888888888889,13.033976928670215,0.4398,19.348748073225508
36000,0.5046222222222222,15.271283821599328,0.46,18.651311785694492
37000,0.5061444444444444,14.005967171180446,0.4519,18.930807609555444
38000,0.49995555555555554,16.62133220851756,0.5002,17.26249851307828
39000,0.5083777777777778,13.357027703207311,0.4257,19.835946398905897
40000,0.5103666666666666,12.715596276407956,0.4119,20.31249139852528
41000,0.5062111111111111,14.766914125525574,0.4442,19.197013898048006
42000,0.5103333333333333,13.050826933267926,0.4109,20.346992913679948
43000,0.5099333333333333,13.52480425105438,0.4184,20.087906113865877
44000,0.5067222222222222,14.476488835746844,0.4461,19.131133712042068
45000,0.5024444444444445,15.831046261789517,0.4768,18.07073794457614
46000,0.5021555555555556,16.19944058774921,0.4843,17.81168488777363
47000,0.5059666666666667,15.475918093949247,0.4453,19.15903091914251
48000,0.5025333333333334,16.14760213680581,0.479,17.994743840935605
49000,0.5054,15.780345453525237,0.4499,19.000161183378168
